iter	Logloss
0	0.6406424444
1	0.5988146212
2	0.5651689314
3	0.5325574188
4	0.5038275663
5	0.4783125019
6	0.458220248
7	0.4380730994
8	0.4205412538
9	0.4089041388
10	0.3972202708
11	0.3861500434
12	0.3733540188
13	0.3664122767
14	0.3594466168
15	0.3517819266
16	0.3455463799
17	0.339432989
18	0.3335788099
19	0.3276107049
20	0.3235572306
21	0.3197223437
22	0.3150734427
23	0.312785924
24	0.3098526612
25	0.3074983069
26	0.3052502032
27	0.3029791594
28	0.3014800216
29	0.3001283297
30	0.299097938
31	0.2975797056
32	0.2962084379
33	0.2942638879
34	0.2927579337
35	0.2919602128
36	0.2907677927
37	0.2896488122
38	0.2882411114
39	0.2867063136
40	0.2857968352
41	0.284217165
42	0.2835464044
43	0.2830211979
44	0.2825417672
45	0.2820067314
46	0.2815666602
47	0.281060187
48	0.2804173669
49	0.2798318074
50	0.2794073567
51	0.278749636
52	0.2782512563
53	0.2778800048
54	0.2772483308
55	0.2768293368
56	0.2762536754
57	0.2759317214
58	0.2757736121
59	0.2752195288
60	0.275013218
61	0.2748491784
62	0.2743736705
63	0.274175504
64	0.2740442103
65	0.2735079775
66	0.2731210831
67	0.2727528478
68	0.2724646037
69	0.2720015834
70	0.2714172462
71	0.2710869416
72	0.2708068206
73	0.2706663596
74	0.2704626591
75	0.2704492503
76	0.269481578
77	0.2690112903
78	0.2682152138
79	0.268140205
80	0.2679192119
81	0.2678232757
82	0.2675449722
83	0.2674749383
84	0.2672629304
85	0.2671315946
86	0.2670401916
87	0.2665220082
88	0.266387956
89	0.2661987745
90	0.2659862112
91	0.2658448983
92	0.2656922608
93	0.2656624556
94	0.2656376507
95	0.265394301
96	0.265333647
97	0.2650457383
98	0.2646508821
99	0.2642712523
100	0.2638827691
101	0.263782052
102	0.2637408221
103	0.2637073521
104	0.2636497782
105	0.2635291544
106	0.2634334225
107	0.263249566
108	0.2631814688
109	0.263008265
110	0.2628436094
111	0.2627096762
112	0.2626730748
113	0.2625489407
114	0.2623484707
115	0.2622789521
116	0.2621403064
117	0.2620231288
118	0.2619245723
119	0.2618663155
120	0.2616438103
121	0.2615850292
122	0.261520729
123	0.2614286758
124	0.2612934426
125	0.2612202749
126	0.2611769379
127	0.2610049312
128	0.2609632791
129	0.2608921566
130	0.2608146672
131	0.2607535629
132	0.2606257985
133	0.2605382597
134	0.2605073664
135	0.2603971021
136	0.2603419878
137	0.2601970513
138	0.2601526289
139	0.2601390752
140	0.2601291828
141	0.2600950873
142	0.2600046085
143	0.2599670043
144	0.259683311
145	0.2596257876
146	0.2595950896
147	0.2594861249
148	0.2594798107
149	0.259358124
150	0.259325612
151	0.2592824675
152	0.2592708653
153	0.2592144388
154	0.259212186
155	0.2591865044
156	0.2591796194
157	0.2590811119
158	0.2589778434
159	0.2589241067
160	0.2588595277
161	0.2587966169
162	0.2586543794
163	0.2586209574
164	0.2585620372
165	0.2585318678
166	0.258497564
167	0.2583833515
168	0.2581018931
169	0.2580434756
170	0.2579642412
171	0.2579159967
172	0.2579064735
173	0.2578920551
174	0.2577908668
175	0.2577100984
176	0.2574693603
177	0.2574247825
178	0.2572773167
179	0.2572607122
180	0.2571977999
181	0.2571823028
182	0.2569936629
183	0.2568675765
184	0.2568259075
185	0.2567274627
186	0.2564930281
187	0.2564860599
188	0.2564555259
189	0.2564085729
190	0.2563930252
191	0.2563829772
192	0.256327183
193	0.2562525627
194	0.256208263
195	0.2560797387
196	0.2559339386
197	0.2558173137
198	0.2557379421
199	0.2554745878
200	0.2554343862
201	0.2553003939
202	0.2551923263
203	0.2551694385
204	0.2550343567
205	0.2549400665
206	0.2548920794
207	0.2547891058
208	0.2546629635
209	0.2546158106
210	0.254466646
211	0.2543412985
212	0.2541240339
213	0.2540687687
214	0.2537678901
215	0.2536743885
216	0.2533025134
217	0.2531023254
218	0.2527965643
219	0.2525083002
220	0.2523727859
221	0.252226288
222	0.2521144752
223	0.2519211658
224	0.2517662327
225	0.2515202281
226	0.2513329332
227	0.2509826677
228	0.2508285425
229	0.2504621908
230	0.250174731
231	0.2501314168
232	0.2498610703
233	0.2495679151
234	0.2492766133
235	0.2490615859
236	0.2486913722
237	0.2485802951
238	0.2484843201
239	0.248200379
240	0.2479217239
241	0.2476740756
242	0.2474473423
243	0.2471841307
244	0.2470307224
245	0.2467884095
246	0.2465952549
247	0.246420689
248	0.2462066884
249	0.246010272
250	0.2457742606
251	0.2455714446
252	0.245406896
253	0.245303612
254	0.2451809139
255	0.2448485805
256	0.2445916179
257	0.2443625999
258	0.2441662623
259	0.2439831404
260	0.2437489396
261	0.2435753788
262	0.2433934623
263	0.2432773026
264	0.2431094587
265	0.2429073315
266	0.242695298
267	0.2424770791
268	0.2423372857
269	0.2421829464
270	0.2419856621
271	0.2417867724
272	0.2417185015
273	0.241555767
274	0.2414230157
275	0.2412143454
276	0.2410851373
277	0.2409822819
278	0.2407901461
279	0.2406786497
280	0.2405983462
281	0.2404352151
282	0.240308792
283	0.2400952098
284	0.2399989349
285	0.2398986952
286	0.2397999865
287	0.2396756922
288	0.239524305
289	0.2393683734
290	0.2392832007
291	0.2390932191
292	0.2389274995
293	0.2387865737
294	0.2386682686
295	0.2385504757
296	0.2384439198
297	0.2383177021
298	0.2381839006
299	0.2380769353
300	0.2380122927
301	0.2379260603
302	0.2378190333
303	0.2377353474
304	0.2376365743
305	0.2375145526
306	0.2374608026
307	0.2373301818
308	0.2371952179
309	0.2370198676
310	0.2369238892
311	0.236841087
312	0.2367762903
313	0.2367075332
314	0.2365977982
315	0.2365268985
316	0.2364514714
317	0.2362997472
318	0.2362414149
319	0.2361732214
320	0.2360412098
321	0.2359456636
322	0.2358859621
323	0.2358195183
324	0.2357345766
325	0.2356704463
326	0.2355773809
327	0.2355046849
328	0.2352679035
329	0.235181933
330	0.235104468
331	0.2350161111
332	0.2348970538
333	0.2348401021
334	0.2347822523
335	0.2347149487
336	0.2346488258
337	0.2345881091
338	0.2344867009
339	0.2343403327
340	0.2342897263
341	0.234207668
342	0.2341372257
343	0.2340893207
344	0.2339103226
345	0.233807123
346	0.2336906741
347	0.2336293821
348	0.2335425684
349	0.2335048984
350	0.2334674908
351	0.2334230217
352	0.2333574878
353	0.2333005836
354	0.2332446518
355	0.2331563064
356	0.2330928151
357	0.2330467535
358	0.2329783558
359	0.232929546
360	0.2328664822
361	0.2327903778
362	0.2326906123
363	0.2326524118
364	0.2325760156
365	0.2324892944
366	0.2324420456
367	0.2323929248
368	0.2323288221
369	0.2322856027
370	0.2322434184
371	0.2322099438
372	0.232179372
373	0.2321121181
374	0.2320631495
375	0.2320097427
376	0.2319050305
377	0.2318747922
378	0.2318057469
379	0.2317533716
380	0.2317011421
381	0.2316546847
382	0.2316277169
383	0.2315445532
384	0.2315053997
385	0.2313469951
386	0.2313109323
387	0.2312701275
388	0.2311491473
389	0.2310889715
390	0.2310456119
391	0.2310244391
392	0.2309580731
393	0.2309241262
394	0.2308292301
395	0.2307857775
396	0.230732073
397	0.2306958536
398	0.2306670955
399	0.2305964057
400	0.2305532098
401	0.2304898506
402	0.2304382508
403	0.2304042874
404	0.2303608172
405	0.2302601319
406	0.2302271236
407	0.2301858931
408	0.2301378318
409	0.2300741266
410	0.2300265263
411	0.2299952277
412	0.2299755913
413	0.2299385879
414	0.2298503242
415	0.2298007206
416	0.2297511771
417	0.2297018117
418	0.2296680838
419	0.2295730783
420	0.229485857
421	0.2294624765
422	0.2294358991
423	0.2293946065
424	0.2293362026
425	0.229260566
426	0.229174683
427	0.2290669984
428	0.2290258472
429	0.2289943832
430	0.2289495186
431	0.2289312824
432	0.2288366494
433	0.2287697108
434	0.2287244951
435	0.2286856884
436	0.2286422871
437	0.2285420028
438	0.228508028
439	0.2284687378
440	0.2284073265
441	0.2283870733
442	0.2283670746
443	0.2283514774
444	0.228328198
445	0.2282750131
446	0.2282534235
447	0.2282177975
448	0.2281698759
449	0.2281423243
450	0.2280705875
451	0.2280444224
452	0.2280203267
453	0.2279915959
454	0.227956756
455	0.2279407683
456	0.2279081044
457	0.2278874789
458	0.2278310524
459	0.227797827
460	0.2277500121
461	0.2277012122
462	0.2276840559
463	0.2276297422
464	0.227585864
465	0.2275321986
466	0.2274909764
467	0.2274490811
468	0.2273889172
469	0.2272848503
470	0.2272358395
471	0.2271644404
472	0.2271435905
473	0.2271216018
474	0.2270949211
475	0.2270709976
476	0.2269851512
477	0.2269446602
478	0.2269211806
479	0.2268790018
480	0.2268388209
481	0.2268181152
482	0.2267763825
483	0.2267484004
484	0.2267173108
485	0.2266995063
486	0.2266488593
487	0.2266167806
488	0.2265728318
489	0.2265533308
490	0.2265196105
491	0.2264858925
492	0.2264506936
493	0.22641629
494	0.2263924824
495	0.2263624131
496	0.2263424535
497	0.2263088116
498	0.226279702
499	0.2262572847
500	0.2262250947
501	0.2262011447
502	0.2261330768
503	0.2261191017
504	0.2260880801
505	0.2260527095
506	0.2259964297
507	0.2259407349
508	0.2258991712
509	0.2258746521
510	0.2258540479
511	0.2258209127
512	0.2257766534
513	0.2257373827
514	0.2257047986
515	0.2256948668
516	0.2256661583
517	0.2256430734
518	0.2256058752
519	0.2255802158
520	0.2255621831
521	0.2255288667
522	0.2255022699
523	0.2254490583
524	0.225423991
525	0.2253732422
526	0.2253518983
527	0.2253305689
528	0.2252990727
529	0.2252630108
530	0.2252343415
531	0.2251835278
532	0.2251679532
533	0.2251473242
534	0.2251152811
535	0.225095209
536	0.2250565936
537	0.225017938
538	0.2249731037
539	0.2249140425
540	0.2248983148
541	0.2248816715
542	0.2248513833
543	0.2247932151
544	0.2247757845
545	0.2247480262
546	0.2247419236
547	0.2247231382
548	0.224701825
549	0.2246626066
550	0.2246291103
551	0.2245788013
552	0.224549338
553	0.2245370235
554	0.2245147548
555	0.2245013989
556	0.2244795578
557	0.2244627067
558	0.2244440487
559	0.2244198625
560	0.224408142
561	0.2243768475
562	0.2243698199
563	0.2243500536
564	0.224295784
565	0.224273576
566	0.2242400144
567	0.2242169131
568	0.2241998168
569	0.2241742866
570	0.2241712348
571	0.2241375713
572	0.2241092244
573	0.2240781752
574	0.2240539909
575	0.2240365949
576	0.2239990427
577	0.2239719983
578	0.2239520956
579	0.2239169053
580	0.2238921248
581	0.2238713095
582	0.2238366595
583	0.2238060345
584	0.2237797509
585	0.2237691461
586	0.2237445602
587	0.223718928
588	0.2237064916
589	0.2236855919
590	0.2236568317
591	0.2236319028
592	0.2235946013
593	0.2235683635
594	0.2235397888
595	0.2235046806
596	0.2234795332
597	0.2234496547
598	0.2234181873
599	0.223358195
600	0.2233388504
601	0.2233300801
602	0.2233155269
603	0.2232954063
604	0.2232654753
605	0.2232389993
606	0.2232103781
607	0.2231459028
608	0.2231216983
609	0.2231024987
610	0.2230814935
611	0.2230521665
612	0.223033203
613	0.2230033808
614	0.222927587
615	0.222895725
616	0.2228742107
617	0.2228476556
618	0.2228278467
619	0.222799125
620	0.2227727043
621	0.2226468794
622	0.2226189518
623	0.2225986386
624	0.2225748842
625	0.222543472
626	0.2225197592
627	0.2224833193
628	0.2224434032
629	0.222402591
630	0.2223685913
631	0.2223407644
632	0.222317766
633	0.222293967
634	0.2222676083
635	0.2222594151
636	0.222235524
637	0.2222220403
638	0.2222098354
639	0.2221836315
640	0.2221646077
641	0.2221498872
642	0.2221272025
643	0.2220999154
644	0.2220733947
645	0.2220497351
646	0.2219974866
647	0.2219577616
648	0.2219348027
649	0.2219067576
650	0.2218897181
651	0.2218727797
652	0.2218327567
653	0.2218118157
654	0.2217897705
655	0.2217382993
656	0.2217125346
657	0.221699446
658	0.2216870405
659	0.2216768888
660	0.2216468416
661	0.2216039099
662	0.2215611
663	0.2215242763
664	0.2214981399
665	0.2214725953
666	0.2214035057
667	0.2213781475
668	0.2213231963
669	0.2213099892
670	0.2212585051
671	0.2211974786
672	0.2211542586
673	0.2211215312
674	0.2211002168
675	0.2210631296
676	0.2210330828
677	0.2210174628
678	0.2209990657
679	0.2209855666
680	0.2209699384
681	0.2209320633
682	0.2209060057
683	0.2208775929
684	0.2208584313
685	0.2208285498
686	0.2207698416
687	0.2207384979
688	0.2207235205
689	0.2207127877
690	0.2207069343
691	0.2206450497
692	0.220631315
693	0.2206117378
694	0.2205819559
695	0.2205579471
696	0.2205352877
697	0.2204954989
698	0.2204499004
699	0.2204367745
700	0.220426634
701	0.2204137719
702	0.2204019908
703	0.2203442991
704	0.2203335242
705	0.2203107446
706	0.2202644512
707	0.2202570696
708	0.220229541
709	0.2202017082
710	0.2201793882
711	0.2201372942
712	0.2201063074
713	0.2200776851
714	0.2200559067
715	0.2200317413
716	0.2200276506
717	0.2200214717
718	0.2200149854
719	0.2200004406
720	0.2199858833
721	0.2199567592
722	0.2199414014
723	0.2199243444
724	0.2199114526
725	0.2198972946
726	0.2198581332
727	0.219847445
728	0.2198162019
729	0.2198009837
730	0.2197741299
731	0.2197186463
732	0.2196923691
733	0.219667905
734	0.2196338944
735	0.2196088568
736	0.219582162
737	0.2195630442
738	0.2195384864
739	0.2195180649
740	0.2195023385
741	0.2194774826
742	0.2194588192
743	0.2193950213
744	0.2193775269
745	0.21935356
746	0.2193211814
747	0.2192971981
748	0.2192718586
749	0.2192526463
750	0.2192128966
751	0.2192023796
752	0.2191820646
753	0.2191625162
754	0.2191458868
755	0.2191325118
756	0.2191148123
757	0.2190990238
758	0.219079365
759	0.2190614396
760	0.2190469638
761	0.2190304967
762	0.219008778
763	0.2189933598
764	0.2189805575
765	0.218940923
766	0.2189203401
767	0.21890473
768	0.2188862895
769	0.2188642374
770	0.218839835
771	0.2188197947
772	0.2187986019
773	0.218787593
774	0.2187622275
775	0.2187519844
776	0.2187413491
777	0.2187186896
778	0.2187034458
779	0.2186893565
780	0.2186634779
781	0.2186338309
782	0.2185917335
783	0.2185336862
784	0.2185095353
785	0.2184897755
786	0.218472825
787	0.2184570581
788	0.2184364668
789	0.2184187154
790	0.2183979092
791	0.2183748084
792	0.2183467158
793	0.2183116167
794	0.2182872463
795	0.2182633379
796	0.2182417059
797	0.2182242356
798	0.2182014792
799	0.2181736595
800	0.2181421567
801	0.2181115455
802	0.2180926307
803	0.2180693069
804	0.2180485238
805	0.2180419183
806	0.2180333071
807	0.2179939904
808	0.2179677223
809	0.2179468474
810	0.2179301958
811	0.2179109705
812	0.2178964952
813	0.2178695432
814	0.2178448439
815	0.2178258286
816	0.217809444
817	0.217802395
818	0.2177808061
819	0.2177729189
820	0.2177562464
821	0.21772749
822	0.217708184
823	0.2176878637
824	0.2176832334
825	0.2176711747
826	0.2176537107
827	0.2176315247
828	0.217615638
829	0.2175943234
830	0.2175770561
831	0.217555301
832	0.2175258061
833	0.2175033072
834	0.2174833117
835	0.2174597094
836	0.217441218
837	0.2174170519
838	0.2173991476
839	0.2173815082
840	0.2173556471
841	0.2173429023
842	0.2173229935
843	0.2173069004
844	0.217288214
845	0.2172615912
846	0.2172380912
847	0.2172304026
848	0.2172163063
849	0.2172105968
850	0.2171930239
851	0.2171773985
852	0.2171647937
853	0.2171428777
854	0.2171180569
855	0.2171044336
856	0.2170838111
857	0.2170648772
858	0.2170472173
859	0.2170156481
860	0.216998054
861	0.2169830978
862	0.216981231
863	0.2169601435
864	0.2169370872
865	0.2169154895
866	0.2168971986
867	0.2168689367
868	0.2168520143
869	0.21682873
870	0.216813901
871	0.216789277
872	0.2167669531
873	0.2167463005
874	0.2167260006
875	0.2166935386
876	0.2166728598
877	0.2166507409
878	0.2166191386
879	0.2165952602
880	0.2165719313
881	0.2165520458
882	0.2165295511
883	0.2165169337
884	0.2164777647
885	0.2164599976
886	0.2164241576
887	0.2163820174
888	0.2163471705
889	0.2163265098
890	0.2163041894
891	0.2162859673
892	0.2162495446
893	0.2162171823
894	0.216198138
895	0.2161789321
896	0.2161668042
897	0.2161547537
898	0.2161348462
899	0.2160906287
900	0.2160704712
901	0.2160524874
902	0.2160396933
903	0.2159967398
904	0.2159696615
905	0.2159321301
906	0.2159182419
907	0.2157849911
908	0.2157637264
909	0.2157490945
910	0.215730807
911	0.2157103613
912	0.2156949904
913	0.2156627189
914	0.2156450457
915	0.2156271654
916	0.2156123936
917	0.2155899128
918	0.2155804908
919	0.215556514
920	0.2155320441
921	0.2155144228
922	0.2154911082
923	0.215474505
924	0.2154487424
925	0.2154273992
926	0.21539844
927	0.2153746249
928	0.2153636491
929	0.2153500964
930	0.2153420158
931	0.2153236378
