iter	Passed	Remaining
0	316	1487772
1	439	1032694
2	679	1063272
3	933	1095677
4	1187	1113972
5	1410	1102853
6	1695	1135778
7	1977	1158981
8	2216	1154320
9	2465	1155681
10	2729	1162911
11	2950	1152112
12	3199	1152632
13	3466	1159501
14	3740	1167497
15	4033	1179928
16	4290	1181232
17	4544	1181339
18	4794	1180430
19	5099	1192514
20	5297	1179667
21	5541	1177486
22	5775	1173693
23	6032	1174608
24	6277	1173133
25	6535	1174126
26	6787	1173939
27	7076	1180016
28	7352	1183453
29	7622	1185767
30	7911	1190839
31	8156	1189007
32	8407	1188263
33	8720	1195963
34	8992	1197760
35	9256	1198494
36	9555	1203432
37	9813	1203231
38	10081	1204071
39	10367	1207028
40	10695	1214612
41	10854	1203007
42	11082	1199468
43	11382	1203727
44	11664	1205826
45	11917	1204957
46	12214	1208496
47	12470	1207777
48	12752	1209649
49	12886	1197706
50	13040	1187953
51	13194	1178658
52	13433	1177106
53	13732	1180721
54	13987	1180545
55	14259	1181755
56	14445	1175876
57	14714	1176893
58	14994	1178703
59	15261	1179442
60	15551	1181942
61	15628	1168325
62	15933	1172013
63	16242	1175840
64	16502	1175995
65	16800	1178814
66	17054	1178553
67	17329	1179704
68	17629	1182465
69	17931	1185240
70	18056	1176489
71	18322	1176939
72	18567	1176128
73	18824	1176025
74	19101	1177164
75	19351	1176641
76	19626	1177607
77	19816	1173476
78	20097	1174840
79	20375	1175949
80	20659	1177320
81	20918	1177305
82	21029	1169032
83	21300	1169746
84	21595	1171723
85	21722	1164662
86	22038	1167782
87	22357	1170957
88	22457	1162767
89	22707	1162368
90	22991	1163700
91	23267	1164622
92	23562	1166488
93	23841	1167457
94	24080	1166487
95	24323	1165731
96	24407	1157489
97	24688	1158617
98	24976	1160039
99	25225	1159630
100	25471	1159081
101	25672	1156534
102	25987	1159104
103	26236	1158677
104	26335	1151750
105	26477	1146772
106	26547	1138795
107	26756	1136916
108	26830	1129356
109	26956	1124092
110	27254	1126008
111	27384	1121056
112	27505	1115802
113	27609	1109942
114	27721	1104536
115	28023	1106697
116	28273	1106770
117	28518	1106677
118	28805	1108153
119	29098	1109868
120	29358	1110303
121	29491	1105913
122	29748	1106241
123	29821	1099777
124	29953	1095589
125	30080	1091252
126	30363	1092614
127	30643	1093828
128	30942	1095709
129	31185	1095556
130	31471	1096947
131	31542	1090853
132	31814	1091752
133	32044	1091196
134	32326	1092393
135	32610	1093660
136	32874	1094203
137	33143	1094926
138	33435	1096395
139	33554	1092211
140	33686	1088489
141	33949	1089016
142	34194	1088969
143	34266	1083451
144	34530	1084019
145	34780	1084142
146	35042	1084656
147	35120	1079492
148	35408	1080801
149	35670	1081303
150	35939	1082008
151	36200	1082432
152	36472	1083217
153	36569	1078808
154	36792	1078151
155	37085	1079529
156	37288	1078292
157	37543	1078540
158	37822	1079488
159	38127	1081145
160	38207	1076444
161	38496	1077676
162	38785	1078860
163	39031	1078844
164	39353	1080906
165	39665	1082671
166	39852	1081042
167	39958	1077202
168	40188	1076766
169	40436	1076806
170	40650	1075935
171	40934	1076908
172	41205	1077547
173	41488	1078456
174	41745	1078700
175	42002	1078938
176	42252	1078991
177	42486	1078620
178	42786	1079948
179	43070	1080839
180	43215	1078230
181	43482	1078704
182	43781	1079940
183	44058	1080634
184	44305	1080583
185	44553	1080548
186	44809	1080702
187	45085	1081344
188	45407	1083064
189	45675	1083462
190	45941	1083823
191	46208	1084223
192	46453	1084085
193	46709	1084191
194	47015	1085447
195	47312	1086493
196	47601	1087334
197	47834	1086901
198	48143	1088186
199	48408	1088461
200	48667	1088609
201	48969	1089697
202	49256	1090432
203	49533	1090950
204	49780	1090808
205	50074	1091675
206	50321	1091504
207	50592	1091872
208	50842	1091773
209	51111	1092090
210	51383	1092445
211	51643	1092558
212	51869	1091931
213	52064	1090674
214	52309	1090465
215	52570	1090584
216	52822	1090527
217	53057	1090103
218	53295	1089755
219	53572	1090208
220	53814	1089926
221	54089	1090313
222	54393	1091279
223	54657	1091445
224	54870	1090590
225	55145	1090958
226	55385	1090627
227	55654	1090882
228	55873	1090142
229	56112	1089801
230	56401	1090432
231	56644	1090155
232	56867	1089518
233	57086	1088783
234	57323	1088414
235	57582	1088449
236	57818	1088060
237	58045	1087490
238	58302	1087505
239	58558	1087482
240	58798	1087159
241	59050	1087059
242	59269	1086370
243	59496	1085814
244	59701	1084864
245	59944	1084612
246	60197	1084538
247	60439	1084263
248	60659	1083595
249	60916	1083576
250	61139	1082971
251	61368	1082474
252	61580	1081678
253	61812	1081235
254	62090	1081596
255	62353	1081685
256	62594	1081401
257	62837	1081144
258	63061	1080570
259	63319	1080565
260	63530	1079777
261	63773	1079525
262	64026	1079445
263	64279	1079352
264	64545	1079499
265	64790	1079281
266	65048	1079269
267	65267	1078623
268	65497	1078156
269	65745	1077975
270	65991	1077784
271	66236	1077560
272	66462	1077041
273	66702	1076726
274	66923	1076137
275	67197	1076384
276	67444	1076183
277	67652	1075388
278	67921	1075549
279	68131	1074776
280	68361	1074325
281	68570	1073547
282	68838	1073693
283	69066	1073212
284	69277	1072467
285	69545	1072599
286	69789	1072368
287	70035	1072174
288	70294	1072178
289	70527	1071780
290	70741	1071096
291	70980	1070779
292	71196	1070128
293	71458	1070183
294	71716	1070154
295	71947	1069739
296	72188	1069452
297	72411	1068913
298	72646	1068561
299	72881	1068196
300	73140	1068187
301	73390	1068055
302	73629	1067745
303	73871	1067489
304	74097	1067001
305	74331	1066630
306	74573	1066375
307	74843	1066513
308	75117	1066718
309	75370	1066614
310	75616	1066413
311	75880	1066461
312	76141	1066468
313	76366	1065965
314	76591	1065477
315	76852	1065478
316	77096	1065247
317	77361	1065301
318	77594	1064911
319	77834	1064625
320	78100	1064691
321	78291	1063739
322	78559	1063837
323	78782	1063322
324	79037	1063237
325	79282	1063016
326	79514	1062620
327	79753	1062324
328	79968	1061713
329	80207	1061410
330	80412	1060672
331	80622	1059994
332	80883	1059986
333	81107	1059492
334	81376	1059591
335	81597	1059063
336	81832	1058725
337	82086	1058629
338	82335	1058460
339	82569	1058101
340	82818	1057941
341	83060	1057681
342	83334	1057838
343	83557	1057348
344	83778	1056826
345	84014	1056497
346	84268	1056394
347	84515	1056197
348	84773	1056145
349	85080	1056699
350	85336	1056619
351	85630	1057004
352	85915	1057266
353	86186	1057361
354	86451	1057389
355	86711	1057344
356	86997	1057617
357	87263	1057638
358	87556	1057991
359	87871	1058612
360	88156	1058854
361	88417	1058814
362	88683	1058826
363	88966	1059047
364	89239	1059141
365	89479	1058840
366	89741	1058801
367	89994	1058657
368	90220	1058196
369	90472	1058036
370	90705	1057655
371	90965	1057598
372	91227	1057557
373	91497	1057606
374	91703	1056912
375	91949	1056681
376	92160	1056057
377	92417	1055955
378	92642	1055493
379	92888	1055257
380	93105	1054702
381	93354	1054512
382	93590	1054171
383	93850	1054102
384	94101	1053938
385	94341	1053648
386	94586	1053400
387	94794	1052753
388	95039	1052521
389	95308	1052551
390	95505	1051782
391	95758	1051629
392	96018	1051563
393	96287	1051583
394	96539	1051429
395	96769	1051021
396	97015	1050802
397	97267	1050634
398	97512	1050400
399	97755	1050133
400	97988	1049769
401	98252	1049736
402	98501	1049539
403	98755	1049395
404	98995	1049108
405	99224	1048699
406	99490	1048679
407	99719	1048278
408	99982	1048228
409	100222	1047937
410	100484	1047877
411	100745	1047806
412	100983	1047490
413	101229	1047257
414	101485	1047135
415	101752	1047118
416	102011	1047024
417	102270	1046922
418	102470	1046226
419	102689	1045723
420	102932	1045461
421	103166	1045108
422	103429	1045050
423	103656	1044635
424	103919	1044577
425	104116	1043853
426	104395	1043957
427	104658	1043894
428	104850	1043128
429	105093	1042867
430	105347	1042719
431	105598	1042535
432	105855	1042424
433	106089	1042070
434	106298	1041484
435	106587	1041670
436	106849	1041603
437	107061	1041034
438	107303	1040768
439	107554	1040588
440	107794	1040306
441	108038	1040058
442	108288	1039864
443	108560	1039877
444	108825	1039832
445	109062	1039516
446	109303	1039237
447	109568	1039186
448	109823	1039040
449	110053	1038658
450	110305	1038490
451	110551	1038254
452	110802	1038066
453	111065	1037993
454	111311	1037767
455	111581	1037754
456	111818	1037443
457	112075	1037312
458	112305	1036932
459	112521	1036425
460	112746	1035991
461	112977	1035624
462	113169	1034900
463	113419	1034706
464	113631	1034164
465	113882	1033987
466	114143	1033889
467	114346	1033269
468	114591	1033030
469	114834	1032781
470	115085	1032591
471	115322	1032281
472	115544	1031838
473	115813	1031813
474	116054	1031541
475	116323	1031513
476	116553	1031139
477	116799	1030912
478	117028	1030539
479	117293	1030475
480	117543	1030278
481	117799	1030136
482	118042	1029874
483	118294	1029697
484	118555	1029603
485	118803	1029386
486	119040	1029072
487	119309	1029047
488	119585	1029072
489	119852	1029023
490	120126	1029025
491	120388	1028933
492	120618	1028556
493	120852	1028223
494	121118	1028159
495	121412	1028336
496	121659	1028106
497	121903	1027860
498	122119	1027367
499	122351	1027014
500	122609	1026881
501	122848	1026591
502	123072	1026179
503	123312	1025895
504	123562	1025694
505	123811	1025483
506	124068	1025335
507	124275	1024782
508	124532	1024640
509	124793	1024530
510	125055	1024428
511	125313	1024292
512	125541	1023905
513	125749	1023364
514	125953	1022788
515	126195	1022524
516	126427	1022177
517	126658	1021829
518	126906	1021606
519	127153	1021383
520	127396	1021128
521	127648	1020945
522	127866	1020485
523	128130	1020394
524	128388	1020259
525	128651	1020164
526	128904	1019987
527	129164	1019858
528	129400	1019546
529	129681	1019592
530	129926	1019351
531	130186	1019222
532	130451	1019135
533	130737	1019215
534	131097	1019866
535	131331	1019532
536	131655	1019897
537	131906	1019697
538	132207	1019884
539	132492	1019948
540	132734	1019678
541	133006	1019638
542	133269	1019522
543	133553	1019575
544	133847	1019700
545	134117	1019640
546	134363	1019392
547	134598	1019068
548	134883	1019123
549	135198	1019394
550	135490	1019496
551	135785	1019618
552	136072	1019680
553	136368	1019809
554	136645	1019792
555	136923	1019783
556	137227	1019964
557	137480	1019767
558	137753	1019720
559	137994	1019435
560	138278	1019467
561	138541	1019336
562	138778	1019025
563	139065	1019070
564	139334	1018988
565	139612	1018976
566	139862	1018750
567	140073	1018248
568	140344	1018177
569	140608	1018054
570	140862	1017862
571	141149	1017907
572	141440	1017975
573	141714	1017924
574	141966	1017712
575	142236	1017634
576	142520	1017650
577	142796	1017611
578	143055	1017451
579	143357	1017593
580	143602	1017327
581	143889	1017362
582	144233	1017798
583	144478	1017532
584	144724	1017277
585	144961	1016954
586	145211	1016726
587	145449	1016415
588	145718	1016317
589	145968	1016087
590	146211	1015808
591	146457	1015552
592	146748	1015606
593	146989	1015313
594	147253	1015182
595	147529	1015130
596	147787	1014954
597	148012	1014556
598	148268	1014364
599	148530	1014219
600	148743	1013735
601	148963	1013301
602	149229	1013178
603	149486	1012996
604	149726	1012696
605	149988	1012544
606	150258	1012450
607	150520	1012302
608	150782	1012146
609	151053	1012061
610	151277	1011652
611	151499	1011233
612	151767	1011124
613	152019	1010908
614	152304	1010905
615	152569	1010775
616	152831	1010620
617	153064	1010276
618	153308	1010005
619	153573	1009870
620	153834	1009711
621	154073	1009407
622	154318	1009138
623	154555	1008824
624	154797	1008537
625	155028	1008182
626	155277	1007942
627	155548	1007846
628	155786	1007533
629	156018	1007183
630	156270	1006969
631	156541	1006866
632	156773	1006518
633	157014	1006232
634	157263	1005989
635	157549	1005989
636	157799	1005754
637	158059	1005587
638	158302	1005306
639	158571	1005191
640	158838	1005066
641	159074	1004747
642	159331	1004554
643	159571	1004259
644	159800	1003891
645	160044	1003619
646	160273	1003256
647	160564	1003278
648	160815	1003054
649	161074	1002877
650	161326	1002651
651	161542	1002207
652	161825	1002176
653	162086	1002013
654	162341	1001807
655	162586	1001542
656	162818	1001199
657	163068	1000962
658	163309	1000673
659	163555	1000417
660	163814	1000235
661	164104	1000241
662	164371	1000109
663	164617	999853
664	164865	999607
665	165152	999596
666	165403	999365
667	165639	999043
668	165850	998574
669	166103	998353
670	166348	998090
671	166614	997950
672	166842	997584
673	167091	997341
674	167336	997078
675	167586	996843
676	167827	996555
677	168057	996197
678	168309	995977
679	168578	995852
680	168832	995640
681	169107	995554
682	169368	995382
683	169619	995151
684	169879	994973
685	170117	994667
686	170365	994419
687	170623	994229
